Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
165,10,100,0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,9.486986875534058
166,10,50,0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,6.917062044143677
167,20,100,0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,22.16319513320923
168,20,50,0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,13.941503286361694
169,10,100,0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.894,11.184720277786257
170,10,50,0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8919,7.809334993362427
171,20,100,0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.9083,21.948230981826782
172,20,50,0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.9091,16.750931978225708
173,10,100,0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9319,9.395267009735107
174,10,50,0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9307,7.383347034454346
175,20,100,0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9508,21.514765977859497
176,20,50,0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9435,16.70005989074707
177,10,100,0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.379,13.652113914489746
178,10,50,0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4245,8.692141056060791
179,20,100,0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4673,21.642985820770264
180,20,50,0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.5503,17.139475107192993
181,10,100,0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.181,9.09645700454712
182,10,50,0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.2158,7.589073896408081
183,20,100,0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.3147,18.70645308494568
184,20,50,0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.144,16.642348051071167
185,10,100,0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,10.305125713348389
186,10,50,0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,8.82556676864624
187,20,100,0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,20.390034914016724
188,20,50,0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,17.146878004074097
189,10,100,0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,9.252211332321169
190,10,50,0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,6.653034925460815
191,20,100,0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,17.533023834228516
