Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
203, 20, 50, 0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1224,17.18116593360901
204, 10, 100, 0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.4447,8.405564785003662
205, 10, 50, 0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.3343,6.810800075531006
206, 20, 100, 0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.6001,16.27471113204956
207, 20, 50, 0.1,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.4864,16.94734525680542
208, 10, 100, 0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,11.940595149993896
209, 10, 50, 0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.086416959762573
210, 20, 100, 0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,17.888425827026367
211, 20, 50, 0.1,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,13.153089046478271
212, 10, 100, 0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,8.037068843841553
213, 10, 50, 0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,6.379180669784546
214, 20, 100, 0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,15.653347253799438
215, 20, 50, 0.1,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,11.876946926116943
216, 10, 100, 0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.382,10.13638973236084
217, 10, 50, 0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.2907,7.968962907791138
218, 20, 100, 0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.5404,20.087725162506104
219, 20, 50, 0.1,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.4997,14.091193199157715
220, 10, 100, 0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.6688,7.946537971496582
221, 10, 50, 0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.5818,6.4288341999053955
222, 20, 100, 0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.7858,15.509468078613281
223, 20, 50, 0.1,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.7017,12.241186141967773
224, 10, 100, 0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.102,10.039162874221802
225, 10, 50, 0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1181,7.406369924545288
226, 20, 100, 0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1945,19.683345079421997
227, 20, 50, 0.1,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1463,14.811202049255371
228, 10, 100, 0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.4509,8.183503150939941
229, 10, 50, 0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.385,6.765305042266846
230, 20, 100, 0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.5909,15.914061784744263
231, 20, 50, 0.1,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.4974,12.911887884140015
232, 10, 100, 0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,10.435718059539795
233, 10, 50, 0.1,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,7.166666030883789
